Year,Set Name,Region,Set Type
2017,Crimson Invasion,EN,Main
2018,Ultra Prism,EN,Main
2018,Forbidden Light,EN,Main
2018,Celestial Storm,EN,Main
2018,Lost Thunder,EN,Main
2019,Team Up,EN,Main
2019,Unbroken Bonds,EN,Main
2019,Unified Minds,EN,Main
2019,Cosmic Eclipse,EN,Main
2020,Sword & Shield,EN,Main
2020,Rebel Clash,EN,Main
2020,Darkness Ablaze,EN,Main
2020,Vivid Voltage,EN,Main
2021,Battle Styles,EN,Main
2021,Chilling Reign,EN,Main
2021,Evolving Skies,EN,Main
2021,Fusion Strike,EN,Main
2022,Brilliant Stars,EN,Main
2022,Astral Radiance,EN,Main
2022,Lost Origin,EN,Main
2022,Silver Tempest,EN,Main
2023,Scarlet & Violet,EN,Main
2023,Paldea Evolved,EN,Main
2023,Obsidian Flames,EN,Main
2023,Paradox Rift,EN,Main
2024,Temporal Forces,EN,Main
2024,Twilight Masquerade,EN,Main
2024,Stellar Crown,EN,Main
2024,Shrouded Fable,EN,Main

# Additional Japanese Sets
2002,Web Series,JP,Main
2002,e-Card Series,JP,Main
2003,ADV Series,JP,Main
2004,PCG Series,JP,Main
2005,Holon Series,JP,Main
2006,DP Series,JP,Main
2007,Platinum Series,JP,Main
2008,LEGEND Series,JP,Main
2009,HeartGold & SoulSilver Series,JP,Main
2010,Black & White Series,JP,Main
2011,BW Expansion,JP,Main
2012,XY Series,JP,Main
2013,XY Expansion,JP,Main
2014,XY BREAK Series,JP,Main
2015,Sun & Moon Series,JP,Main
2016,SM Expansion,JP,Main
2017,Ultra Sun & Ultra Moon,JP,Main
2018,GX Ultra Shiny,JP,Special
2019,Tag Team GX All Stars,JP,Special
2019,Dream League,JP,Main
2020,Sword & Shield Series,JP,Main
2020,Shiny Star V,JP,Special
2021,VMAX Climax,JP,Special
2021,Eevee Heroes,JP,Main
2022,VSTAR Universe,JP,Special
2022,Dark Phantasma,JP,Main
2023,Scarlet & Violet Series,JP,Main
2023,Snow Hazard,JP,Main
2023,Clay Burst,JP,Main
2024,Cyber Judge,JP,Main
2024,Wild Force,JP,Main
2024,Crimson Haze,JP,Main

# Special/Mini Sets (English)
2016,Generations,EN,Special
2016,XY Promos,EN,Promo
2017,Shining Legends,EN,Special
2018,Dragon Majesty,EN,Special
2019,Detective Pikachu,EN,Special
2019,Hidden Fates,EN,Special
2020,Champion's Path,EN,Special
2021,Shining Fates,EN,Special
2021,Celebrations,EN,Special
2022,Pokémon GO,EN,Special
2023,Crown Zenith,EN,Special
2023,Pokémon 151,EN,Special
2023,Scarlet & Violet Promos,EN,Promo
2024,Paldean Fates,EN,Special
2024,Pocket,EN,Special
2024,Temporal Forces Special Collection,EN,Special

# Promotional/Other Sets
2000,Wizards Black Star Promos,EN,Promo
2003,Nintendo Black Star Promos,EN,Promo
2010,HGSS Promos,EN,Promo
2011,BW Promos,EN,Promo
2013,XY Promos,EN,Promo
2017,SM Promos,EN,Promo
2020,SWSH Promos,EN,Promo
2023,SV Promos,EN,Promo
2018,McDonald's Collection,EN,Promo
2019,McDonald's Collection,EN,Promo
2021,McDonald's Collection,EN,Promo
2022,McDonald's Collection,EN,Promo
2023,McDonald's Collection,EN,Promo
